normalised,display_name,smiles,inchikey,source,is_ingredient_name
l tyrosine 24,"l-tyrosine, 24",NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,BindingDB,False
l val,l-val,CC(C)C(N)C(=O)O,KZSNJWFQEVHDMF-UHFFFAOYSA-N,GtoPdb,False
l valine,l-valine,CC(C)C(N)C(=O)O,KZSNJWFQEVHDMF-UHFFFAOYSA-N,BindingDB,False
l xylose,l-xylose,O=C(C(O)CO)C(O)CO,WXYXERHRDKEISL-UHFFFAOYSA-N,GtoPdb,False
laa m,laa-m,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,XBMIVRRWGCYBTQ-UHFFFAOYSA-N,ChEMBL,False
laam,laam,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,XBMIVRRWGCYBTQ-UHFFFAOYSA-N,GtoPdb,False
labid,labid,Cn1c(=O)c2[nH]cnc2n(C)c1=O,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,ChEMBL,False
labmist,labmist,Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N,ChEMBL,False
labosept,labosept,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,PCSWXVJAIHCTMO-UHFFFAOYSA-P,ChEMBL,False
lac hydrin,lac hydrin,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lacidipine,lacidipine,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C,BGYJFSXPRMOZJK-UHFFFAOYSA-N,ChEMBL,False
lacidipino,lacidipino,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C,BGYJFSXPRMOZJK-UHFFFAOYSA-N,ChEMBL,False
lacipil reg,lacipil&reg;,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccccc1C=CC(=O)OC(C)(C)C,BGYJFSXPRMOZJK-UHFFFAOYSA-N,GtoPdb,False
lactate,lactate,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,GtoPdb,False
lactic acid,lactic acid,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,True
lactic acid buffered,"lactic acid,buffered",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid calcium salt 2 1,"lactic acid, calcium salt (2:1)",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid component of phexxi,lactic acid component of phexxi,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid d,"lactic acid, d-",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid dl,"lactic acid, dl-",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid monopotassium salt,"lactic acid, monopotassium salt",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid potassium salt,"lactic acid, potassium salt",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactic acid unspecified form,"lactic acid, unspecified form",CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lacticum acidum,lacticum acidum,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,ChEMBL,False
lactitol,lactitol,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,True
lactitol acm 50,lactitol acm 50,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lactitol anhydrous,lactitol anhydrous,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lactitol hydrate,lactitol hydrate,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lactitol monohydrate,lactitol monohydrate,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lacto flavin,lacto-flavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,AUNGANRZJHBGPY-UHFFFAOYSA-N,ChEMBL,False
lactobiosit,lactobiosit,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
lactoferricin,lactoferricin,CCC(C)C1NC(=O)C(CO)NC(=O)C2CCCN2C(=O)C(C)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(CCCCN)NC(=O)C(CCSC)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCC(N)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(N)Cc2ccccc2)CSSCC(C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(Cc2ccccc2)C(=O)O)C(C)C)NC(=O)C(C(C)O)NC1=O,CFFMZOZGXDAXHP-UHFFFAOYSA-N,ChEMBL,True
lactoflavin,lactoflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,AUNGANRZJHBGPY-UHFFFAOYSA-N,BindingDB,True
lactose anhydrous,"lactose, anhydrous",OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,GUBGYTABKSRVRQ-UHFFFAOYSA-N,BindingDB,False
lactosit,lactosit,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,VQHSOMBJVWLPSR-UHFFFAOYSA-N,ChEMBL,False
